,meter_sale_price,procedure_area,rooms_en,floor_bin,swimming_pool,balcony,elevator,metro,has_parking,area_name_en,instance_date
125608,16763.31,76.61,1 B/R,1-10,1,1,1,1,1,Al Merkadh,2022-10-12
101734,20186.51,175.86,3 B/R,1-10,1,1,1,0,1,Al Merkadh,2023-10-17
137556,15908.83,35.1,Studio,1-10,1,1,1,1,1,Al Merkadh,2024-06-10
228362,19271.66,106.78,2 B/R,1-10,1,1,1,1,1,Al Merkadh,2023-08-02
287266,17850.64,27.45,Studio,1-10,1,1,1,1,1,Al Merkadh,2024-10-17
219188,13317.02,45.0,1 B/R,1-10,1,1,1,1,1,Al Merkadh,2024-09-30
230788,20720.68,48.26,1 B/R,31-40,1,1,1,0,1,Al Merkadh,2023-05-08
36746,12852.62,63.85,1 B/R,1-10,1,1,1,1,1,Al Merkadh,2023-06-01
31697,18053.38,50.96,1 B/R,1-10,1,1,1,1,1,Al Merkadh,2024-11-26
107815,17301.64,143.05,3 B/R,1-10,1,1,1,1,1,Al Merkadh,2024-11-22
28103,19897.67,35.18,Studio,1-10,1,1,1,1,1,Al Merkadh,2025-03-18
93809,19443.13,84.58,1 B/R,31-40,1,1,1,1,1,Al Merkadh,2024-03-12
247958,19650.05,72.01,1 B/R,Below 1st floor,1,1,1,1,1,Al Merkadh,2024-05-23
51704,16198.77,29.28,Studio,Below 1st floor,1,1,1,1,1,Al Merkadh,2023-10-24
223824,17788.1,34.21,Studio,Below 1st floor,1,1,1,1,1,Al Merkadh,2024-04-02
9400,15998.26,34.47,Studio,1-10,1,1,1,1,1,Al Merkadh,2023-12-21
46237,18637.66,42.7,Studio,Below 1st floor,1,1,1,1,1,Al Merkadh,2022-11-22
309212,20367.86,81.01,2 B/R,Below 1st floor,1,1,1,1,1,Al Merkadh,2022-03-29
275225,23219.81,58.14,1 B/R,11-20,1,1,1,1,1,Al Merkadh,2025-04-07
202809,18997.09,49.43,1 B/R,Below 1st floor,1,1,1,1,1,Al Merkadh,2022-11-15
14066,21056.42,84.72,1 B/R,11-20,1,1,1,1,1,Al Merkadh,2024-10-28
48987,18298.75,66.39,1 B/R,Below 1st floor,1,1,1,1,1,Al Merkadh,2022-12-05
170816,21388.3,70.59,1 B/R,11-20,1,1,1,0,1,Al Merkadh,2024-06-12
253840,22345.83,56.71,1 B/R,1-10,1,1,1,0,1,Al Merkadh,2024-01-23
192014,22841.84,63.48,1 B/R,11-20,1,1,1,0,1,Al Merkadh,2025-06-11
182316,18002.0,84.82,1 B/R,Below 1st floor,1,1,1,1,1,Al Merkadh,2022-07-28
184937,16267.44,37.99,Studio,1-10,1,1,1,1,1,Al Merkadh,2023-04-14
160099,12829.8,74.62,2 B/R,1-10,1,1,1,1,1,Al Merkadh,2022-08-01
71267,19187.62,118.67,2 B/R,31-40,1,1,1,1,1,Al Merkadh,2023-11-02
88896,15388.11,65.96,1 B/R,11-20,1,1,1,1,1,Al Merkadh,2024-05-01
307212,22884.17,89.05,2 B/R,41-50,1,1,1,0,1,Al Merkadh,2023-09-28
71659,15355.09,52.1,1 B/R,1-10,1,1,1,1,1,Al Merkadh,2025-05-26
123325,19448.95,123.4,2 B/R,11-20,1,1,1,1,1,Al Merkadh,2025-07-15
185152,20839.0,32.64,Studio,1-10,1,1,1,1,1,Al Merkadh,2024-05-13
74442,14172.13,54.9,1 B/R,Below 1st floor,1,1,1,1,1,Al Merkadh,2022-02-18
64062,18965.26,65.91,1 B/R,1-10,1,1,1,1,1,Al Merkadh,2023-12-18
83623,20445.83,70.43,1 B/R,1-10,1,1,1,1,1,Al Merkadh,2025-03-05
206503,20720.74,75.09,2 B/R,21-30,1,1,1,0,1,Al Merkadh,2023-01-06
192590,24885.94,48.22,1 B/R,Below 1st floor,1,1,1,1,1,Al Merkadh,2023-05-02
226489,15738.85,34.54,Studio,Below 1st floor,1,1,1,1,1,Al Merkadh,2023-10-26
189539,23680.37,113.42,2 B/R,11-20,1,1,1,1,1,Al Merkadh,2023-09-11
167349,20711.87,48.09,1 B/R,31-40,1,1,1,0,1,Al Merkadh,2022-10-31
132293,22150.74,108.8,2 B/R,11-20,1,1,1,1,1,Al Merkadh,2024-11-21
145821,17701.09,35.93,Studio,1-10,1,1,1,1,1,Al Merkadh,2024-12-10
273203,18158.8,72.62,1 B/R,Below 1st floor,1,1,0,0,1,Al Merkadh,2022-03-17
34982,12770.97,30.97,Studio,1-10,1,1,1,1,1,Al Merkadh,2024-11-04
52326,21021.85,72.08,1 B/R,31-40,1,1,1,0,1,Al Merkadh,2024-01-09
309155,13803.3,40.57,Studio,1-10,1,1,1,1,1,Al Merkadh,2025-06-11
14891,19342.98,29.04,Studio,1-10,1,1,1,1,1,Al Merkadh,2024-06-05
278932,21367.52,28.08,Studio,1-10,1,1,1,1,1,Al Merkadh,2025-08-26
281815,20314.56,83.7,1 B/R,11-20,1,1,1,1,1,Al Merkadh,2024-01-22
129283,25668.91,45.97,1 B/R,11-20,1,1,1,1,1,Al Merkadh,2024-03-27
259863,15990.74,34.55,Studio,1-10,1,1,1,1,1,Al Merkadh,2023-12-20
294632,23297.19,31.63,Studio,11-20,1,1,1,1,1,Al Merkadh,2024-12-26
22024,18384.35,29.32,Studio,1-10,1,1,1,1,1,Al Merkadh,2024-05-13
233706,21872.27,57.15,1 B/R,1-10,1,1,1,1,1,Al Merkadh,2024-10-21
180182,20988.59,28.93,Studio,Below 1st floor,1,1,1,1,1,Al Merkadh,2024-05-14
268462,18931.56,77.33,1 B/R,1-10,0,1,1,0,1,Al Merkadh,2024-06-03
151391,22884.17,89.05,2 B/R,41-50,1,1,1,0,1,Al Merkadh,2023-09-27
86556,14706.93,56.3,1 B/R,1-10,1,1,1,1,1,Al Merkadh,2024-01-23
46661,24548.74,69.25,1 B/R,1-10,0,1,1,1,1,Al Merkadh,2024-05-09
11343,22393.98,160.08,3 B/R,11-20,1,1,1,1,1,Al Merkadh,2023-07-17
191609,15741.79,35.32,Studio,Below 1st floor,1,1,1,1,1,Al Merkadh,2024-03-26
6738,15980.86,29.73,Studio,Below 1st floor,1,1,1,1,1,Al Merkadh,2023-10-19
81763,14383.49,32.34,Studio,1-10,1,1,1,1,1,Al Merkadh,2024-05-24
185001,16282.43,34.72,Studio,Below 1st floor,1,1,1,1,1,Al Merkadh,2022-02-16
4969,17760.36,74.32,2 B/R,Below 1st floor,1,1,1,1,1,Al Merkadh,2022-05-30
244178,23422.26,56.69,1 B/R,11-20,1,1,1,0,1,Al Merkadh,2024-06-20
28116,17083.14,149.27,3 B/R,1-10,1,1,1,1,1,Al Merkadh,2023-10-02
29019,18298.75,66.39,1 B/R,Below 1st floor,1,1,1,1,1,Al Merkadh,2022-05-09
84874,19727.48,49.17,1 B/R,11-20,1,1,1,1,1,Al Merkadh,2023-07-19
267767,13776.66,81.31,2 B/R,Below 1st floor,1,1,1,1,1,Al Merkadh,2023-10-25
148551,13445.38,47.6,Studio,1-10,1,1,1,1,1,Al Merkadh,2024-09-06
243707,16079.36,88.71,3 B/R,1-10,1,1,1,1,1,Al Merkadh,2024-05-27
307208,21538.37,56.69,1 B/R,11-20,1,1,1,0,1,Al Merkadh,2023-10-10
146484,22345.91,90.14,2 B/R,21-30,1,1,1,0,1,Al Merkadh,2023-09-11
147969,20720.71,64.07,1 B/R,1-10,1,1,1,0,1,Al Merkadh,2025-06-26
36387,19375.06,72.01,1 B/R,Below 1st floor,1,1,1,1,1,Al Merkadh,2023-03-20
147981,24420.02,90.09,2 B/R,1-10,1,1,1,0,1,Al Merkadh,2025-04-08
169694,19913.16,152.67,3 B/R,Below 1st floor,1,1,1,1,1,Al Merkadh,2023-03-08
157709,20720.54,64.3,1 B/R,21-30,1,1,1,0,1,Al Merkadh,2024-09-06
228896,21747.62,34.61,Studio,1-10,1,1,1,1,1,Al Merkadh,2024-08-09
87395,23083.6,73.68,1 B/R,1-10,1,1,1,0,1,Al Merkadh,2024-06-12
155242,19105.95,117.88,2 B/R,Below 1st floor,1,1,1,1,1,Al Merkadh,2023-01-02
146016,20511.39,41.26,1 B/R,1-10,1,1,1,1,1,Al Merkadh,2024-05-20
140930,16090.23,31.92,Studio,Below 1st floor,1,1,1,1,1,Al Merkadh,2023-09-27
128675,16131.44,37.28,Studio,Below 1st floor,1,1,1,1,1,Al Merkadh,2023-10-25
238841,10476.43,80.18,1 B/R,1-10,1,1,1,0,1,Al Merkadh,2024-05-16
73823,20720.64,62.83,1 B/R,1-10,1,1,1,0,1,Al Merkadh,2023-01-06
26854,20655.27,28.08,Studio,1-10,1,1,1,1,1,Al Merkadh,2025-07-08
216353,22751.33,28.11,Studio,1-10,1,1,1,1,1,Al Merkadh,2024-05-15
194415,19913.26,150.29,3 B/R,31-40,1,1,1,1,1,Al Merkadh,2023-09-14
46658,17429.19,68.85,1 B/R,Below 1st floor,0,1,1,1,1,Al Merkadh,2022-09-05
125549,17248.81,69.57,1 B/R,1-10,1,1,1,1,1,Al Merkadh,2025-03-14
277375,22052.34,34.01,Studio,1-10,1,1,1,1,1,Al Merkadh,2023-12-19
116499,20108.59,49.73,Studio,1-10,1,0,1,0,1,Al Merkadh,2025-07-30
52343,23153.26,89.05,2 B/R,41-50,1,1,1,0,1,Al Merkadh,2023-09-21
41873,22479.36,85.02,2 B/R,Below 1st floor,1,1,1,1,1,Al Merkadh,2024-12-23
170932,25617.63,71.24,1 B/R,1-10,0,1,1,0,1,Al Merkadh,2025-07-31
177044,19244.53,32.0,Studio,1-10,1,1,1,1,1,Al Merkadh,2024-05-13
170528,18660.33,77.22,1 B/R,Below 1st floor,0,1,1,0,1,Al Merkadh,2023-06-13
211224,19297.69,31.61,Studio,1-10,1,1,1,1,1,Al Merkadh,2024-08-23
83883,18029.51,85.0,1 B/R,Below 1st floor,1,1,1,1,1,Al Merkadh,2023-02-14
23207,16881.2,142.17,3 B/R,Below 1st floor,1,1,1,1,1,Al Merkadh,2022-10-11
236102,24551.07,71.28,1 B/R,1-10,0,1,1,0,1,Al Merkadh,2025-04-21
260618,16981.13,37.1,Studio,1-10,1,1,1,1,1,Al Merkadh,2025-04-09
241282,17741.65,32.79,Studio,1-10,1,1,1,1,1,Al Merkadh,2025-01-20
236731,18959.05,69.59,2 B/R,Below 1st floor,1,1,1,1,1,Al Merkadh,2022-11-15
48980,21254.54,28.11,Studio,1-10,1,1,1,1,1,Al Merkadh,2024-05-27
150718,15764.83,45.71,1 B/R,Below 1st floor,1,1,1,1,1,Al Merkadh,2025-02-10
146993,24857.94,32.1,Studio,1-10,1,1,1,1,1,Al Merkadh,2025-02-26
116837,20752.99,69.11,1 B/R,41-50,1,1,1,0,1,Al Merkadh,2023-09-22
274641,20618.49,62.99,1 B/R,11-20,1,1,1,0,1,Al Merkadh,2022-11-30
16816,19903.45,118.07,2 B/R,Below 1st floor,0,1,1,1,1,Al Merkadh,2022-06-22
59461,20748.64,59.04,1 B/R,Below 1st floor,1,1,1,1,1,Al Merkadh,2022-01-04
1280,19283.85,126.47,2 B/R,1-10,1,1,1,1,1,Al Merkadh,2025-01-14
9402,15120.94,38.45,Studio,1-10,1,1,1,1,1,Al Merkadh,2023-10-23
153079,14371.95,69.58,1 B/R,1-10,1,1,1,1,1,Al Merkadh,2023-02-13
135955,21324.35,62.37,1 B/R,1-10,1,1,1,1,1,Al Merkadh,2025-08-27
8829,27300.57,75.09,2 B/R,21-30,1,1,1,0,1,Al Merkadh,2025-06-09
58990,22461.51,28.06,Studio,1-10,1,1,1,1,1,Al Merkadh,2024-05-27
172144,20720.59,64.22,1 B/R,31-40,1,1,1,0,1,Al Merkadh,2022-11-08
170364,19972.89,140.19,3 B/R,1-10,1,1,1,0,1,Al Merkadh,2025-01-27
253369,17281.11,34.72,Studio,1-10,1,1,1,1,1,Al Merkadh,2024-09-26
175057,16216.22,34.04,Studio,1-10,1,1,1,1,1,Al Merkadh,2023-10-23
313737,15568.61,141.31,2 B/R,Below 1st floor,0,1,1,1,1,Al Merkadh,2023-06-21
8833,20720.68,48.26,1 B/R,31-40,1,1,1,0,1,Al Merkadh,2023-04-19
253260,16976.59,29.9,Studio,Below 1st floor,1,1,1,1,1,Al Merkadh,2022-02-16
306176,11172.19,56.39,Studio,1-10,1,1,1,1,1,Al Merkadh,2025-04-28
233856,20800.54,38.78,Studio,1-10,1,1,1,1,1,Al Merkadh,2023-09-13
101622,21855.56,85.47,2 B/R,1-10,1,1,1,1,1,Al Merkadh,2025-04-10
223978,12470.73,79.44,2 B/R,1-10,1,1,1,1,1,Al Merkadh,2024-08-21
260614,19627.45,33.15,Studio,Below 1st floor,1,1,1,1,1,Al Merkadh,2023-10-25
94783,18190.83,45.26,1 B/R,Below 1st floor,1,1,1,1,1,Al Merkadh,2022-03-16
313013,16105.4,31.83,Studio,Below 1st floor,1,1,1,1,1,Al Merkadh,2024-03-27
250343,20720.63,48.0,1 B/R,11-20,1,1,1,0,1,Al Merkadh,2023-04-24
125561,20182.36,162.45,3 B/R,1-10,1,1,1,1,1,Al Merkadh,2023-08-28
177710,20533.02,59.66,1 B/R,Below 1st floor,1,1,1,1,1,Al Merkadh,2022-01-18
69490,21149.28,93.68,2 B/R,1-10,1,1,1,1,1,Al Merkadh,2023-10-04
180015,17687.95,29.66,Studio,1-10,1,1,1,1,1,Al Merkadh,2023-08-31
104175,22911.34,46.92,1 B/R,Below 1st floor,1,1,1,1,1,Al Merkadh,2022-12-16
39413,10180.04,63.57,1 B/R,Below 1st floor,1,1,1,1,1,Al Merkadh,2022-02-14
214245,16402.41,36.58,Studio,Below 1st floor,1,1,1,1,1,Al Merkadh,2023-10-23
208907,19913.25,157.87,3 B/R,21-30,1,1,1,1,1,Al Merkadh,2023-10-04
292128,19729.08,30.23,Studio,1-10,1,1,1,1,1,Al Merkadh,2024-03-15
155627,15819.87,55.07,1 B/R,1-10,1,1,1,1,1,Al Merkadh,2022-07-27
66294,19913.18,138.32,2 B/R,31-40,1,1,1,1,1,Al Merkadh,2023-07-19
31874,27725.99,30.82,Studio,Below 1st floor,1,1,1,1,1,Al Merkadh,2024-06-13
296816,17080.19,27.81,Studio,1-10,1,1,1,1,1,Al Merkadh,2023-12-14
84878,13386.88,74.7,2 B/R,21-30,1,1,1,1,1,Al Merkadh,2023-07-13
84869,16416.7,49.34,1 B/R,1-10,1,1,1,1,1,Al Merkadh,2023-08-21
167176,15319.6,37.86,Studio,1-10,1,1,1,1,1,Al Merkadh,2023-04-18
165934,22345.91,90.14,2 B/R,21-30,1,1,1,0,1,Al Merkadh,2023-10-16
96588,16389.93,37.34,Studio,1-10,1,1,1,1,1,Al Merkadh,2023-06-09
234318,21560.09,79.5,1 B/R,41-50,1,1,1,0,1,Al Merkadh,2023-10-23
294154,19649.87,27.99,Studio,1-10,1,1,1,1,1,Al Merkadh,2024-04-19
313729,16934.19,49.84,1 B/R,1-10,1,1,1,1,1,Al Merkadh,2024-11-13
282409,23864.29,31.17,Studio,1-10,1,1,1,1,1,Al Merkadh,2024-01-31
54444,22627.36,103.89,2 B/R,11-20,1,1,1,1,1,Al Merkadh,2025-03-20
277379,20942.41,66.85,1 B/R,Below 1st floor,0,1,1,1,1,Al Merkadh,2023-03-07
279417,20767.32,53.12,1 B/R,1-10,1,1,1,0,1,Al Merkadh,2022-10-28
134020,12708.47,29.98,Studio,1-10,1,1,1,1,1,Al Merkadh,2025-07-28
275169,17494.43,30.69,Studio,Below 1st floor,1,1,1,1,1,Al Merkadh,2022-02-10
103500,13570.82,35.37,Studio,1-10,1,1,1,1,1,Al Merkadh,2023-06-07
177644,17562.82,27.46,Studio,1-10,1,1,1,1,1,Al Merkadh,2023-10-19
267308,21830.25,57.26,1 B/R,1-10,1,1,1,1,1,Al Merkadh,2024-07-10
190573,21560.29,78.77,1 B/R,51-60,1,1,1,0,1,Al Merkadh,2024-03-04
121081,14449.34,38.59,Studio,1-10,1,1,1,1,1,Al Merkadh,2025-02-05
248932,19945.55,119.2,2 B/R,1-10,1,1,1,0,1,Al Merkadh,2024-05-17
230303,20371.58,30.68,Studio,1-10,1,1,1,1,1,Al Merkadh,2024-07-25
261173,18352.45,36.09,Studio,Below 1st floor,1,1,1,1,1,Al Merkadh,2023-10-26
170259,20115.67,53.21,2 B/R,Below 1st floor,1,1,1,1,1,Al Merkadh,2023-08-07
174580,20451.45,83.7,1 B/R,11-20,1,1,1,1,1,Al Merkadh,2023-09-21
1702,15989.03,43.74,1 B/R,1-10,1,1,1,1,1,Al Merkadh,2024-03-26
12481,25625.51,133.57,2 B/R,1-10,1,1,1,0,1,Al Merkadh,2024-07-09
46606,13858.12,40.19,Studio,Below 1st floor,1,1,1,1,1,Al Merkadh,2024-05-14
310952,21085.0,45.53,1 B/R,1-10,1,1,1,1,1,Al Merkadh,2024-03-07
39165,21235.52,77.7,1 B/R,1-10,1,1,1,1,1,Al Merkadh,2024-11-05
253254,22353.36,27.96,Studio,1-10,1,1,1,1,1,Al Merkadh,2025-06-02
33853,20925.04,136.57,3 B/R,1-10,1,1,1,0,1,Al Merkadh,2024-05-10
228926,21950.54,85.42,2 B/R,Below 1st floor,1,1,1,1,1,Al Merkadh,2024-08-23
239200,20752.91,100.11,2 B/R,41-50,1,1,1,0,1,Al Merkadh,2023-09-08
267881,23484.55,32.68,Studio,1-10,1,1,1,1,1,Al Merkadh,2024-01-17
257932,16181.67,44.35,1 B/R,Below 1st floor,1,1,1,1,1,Al Merkadh,2023-11-06
314055,18946.93,48.24,1 B/R,Below 1st floor,1,1,1,1,1,Al Merkadh,2022-09-08
96526,22730.96,49.36,1 B/R,1-10,1,1,1,1,1,Al Merkadh,2024-10-29
136588,20483.67,99.95,2 B/R,31-40,1,1,1,0,1,Al Merkadh,2023-10-23
86753,22520.67,32.65,Studio,1-10,1,1,1,1,1,Al Merkadh,2024-05-13
277400,15694.18,28.88,Studio,Below 1st floor,1,1,1,1,1,Al Merkadh,2023-10-20
49388,16240.11,35.9,Studio,Below 1st floor,1,1,1,1,1,Al Merkadh,2024-06-21
142988,20670.96,29.51,Studio,1-10,1,1,1,1,1,Al Merkadh,2024-11-11
228773,23754.51,69.25,1 B/R,1-10,0,1,1,1,1,Al Merkadh,2025-07-02
16813,14795.24,68.13,1 B/R,1-10,0,1,1,1,1,Al Merkadh,2025-04-29
264366,16961.51,35.33,Studio,Below 1st floor,1,1,1,1,1,Al Merkadh,2024-01-09
288789,15845.04,37.57,Studio,Below 1st floor,1,1,1,1,1,Al Merkadh,2023-08-31
148145,24110.83,75.07,1 B/R,21-30,1,1,1,1,1,Al Merkadh,2024-07-05
187123,26176.36,47.55,1 B/R,1-10,1,1,1,0,1,Al Merkadh,2022-11-17
22978,24868.61,32.69,Studio,1-10,1,1,1,1,1,Al Merkadh,2025-05-01
301846,18846.09,29.29,Studio,1-10,1,1,1,1,1,Al Merkadh,2024-06-10
160524,18177.25,34.16,Studio,1-10,1,1,1,1,1,Al Merkadh,2023-10-23
280019,13823.16,48.18,1 B/R,1-10,1,1,1,1,1,Al Merkadh,2024-06-24
228776,15482.7,27.45,Studio,1-10,1,1,1,1,1,Al Merkadh,2023-09-26
101463,19042.99,34.76,Studio,1-10,1,1,1,1,1,Al Merkadh,2024-01-17
84732,19498.54,30.72,Studio,1-10,1,1,1,1,1,Al Merkadh,2024-06-10
206667,19275.16,28.02,Studio,1-10,1,1,1,1,1,Al Merkadh,2024-05-27
21836,21437.58,79.3,2 B/R,1-10,1,1,1,1,1,Al Merkadh,2024-12-30
228893,17855.84,27.33,Studio,1-10,1,1,1,1,1,Al Merkadh,2025-08-18
224720,20828.17,128.37,2 B/R,Below 1st floor,0,1,1,0,1,Al Merkadh,2022-07-21
38514,13554.5,37.98,Studio,Below 1st floor,1,1,1,1,1,Al Merkadh,2023-08-29
150764,10611.76,45.22,Studio,1-10,1,1,1,1,1,Al Merkadh,2025-01-09
292146,24962.85,34.05,Studio,1-10,1,1,1,1,1,Al Merkadh,2025-04-09
111340,18929.42,154.47,3 B/R,Below 1st floor,0,1,1,1,1,Al Merkadh,2024-01-17
187726,22660.92,93.68,2 B/R,1-10,1,1,1,1,1,Al Merkadh,2024-10-11
211935,16232.3,37.28,Studio,Below 1st floor,1,1,1,1,1,Al Merkadh,2023-10-25
22008,19184.93,46.28,1 B/R,1-10,1,1,1,1,1,Al Merkadh,2023-11-22
258583,21291.12,92.91,1 B/R,31-40,1,1,1,0,1,Al Merkadh,2023-09-13
73112,17246.34,69.58,1 B/R,Below 1st floor,1,1,1,1,1,Al Merkadh,2023-04-12
66775,9944.06,44.69,Studio,Below 1st floor,1,1,1,1,1,Al Merkadh,2022-02-15
41649,16917.87,32.51,Studio,Below 1st floor,1,1,1,1,1,Al Merkadh,2024-03-05
121706,22345.91,90.14,2 B/R,21-30,1,1,1,0,1,Al Merkadh,2023-09-25
41324,19644.25,76.39,1 B/R,Below 1st floor,1,1,1,1,1,Al Merkadh,2023-12-01
239207,24229.9,66.83,1 B/R,21-30,1,1,1,0,1,Al Merkadh,2024-10-18
260669,20270.27,48.1,1 B/R,Below 1st floor,1,1,1,1,1,Al Merkadh,2022-04-07
101731,17903.13,163.1,2 B/R,1-10,1,1,1,0,1,Al Merkadh,2023-11-23
121250,21986.1,50.72,Studio,1-10,1,1,1,1,1,Al Merkadh,2024-02-14
234336,22883.94,90.28,2 B/R,31-40,1,1,1,0,1,Al Merkadh,2023-10-23
18773,18063.58,110.72,2 B/R,1-10,1,1,1,1,1,Al Merkadh,2025-07-17
245794,22771.12,28.05,Studio,1-10,1,1,1,1,1,Al Merkadh,2022-12-08
33835,20720.79,47.72,1 B/R,11-20,1,1,1,0,1,Al Merkadh,2022-11-03
170260,27903.55,112.84,2 B/R,1-10,1,1,1,1,1,Al Merkadh,2024-10-23
21890,16734.1,27.98,Studio,1-10,1,1,1,1,1,Al Merkadh,2023-10-23
28831,22578.64,64.22,1 B/R,31-40,1,1,1,0,1,Al Merkadh,2024-06-04
46798,16645.59,88.71,3 B/R,1-10,1,1,1,1,1,Al Merkadh,2024-05-27
39990,18517.18,55.3,1 B/R,1-10,1,0,1,1,1,Al Merkadh,2025-05-06
116844,21538.53,56.71,1 B/R,1-10,1,1,1,0,1,Al Merkadh,2023-09-11
312736,17571.44,108.13,2 B/R,11-20,1,1,1,1,1,Al Merkadh,2023-08-03
153932,19598.13,51.8,1 B/R,Below 1st floor,1,1,1,1,1,Al Merkadh,2022-01-13
296977,16214.34,68.63,1 B/R,Below 1st floor,1,1,1,1,1,Al Merkadh,2022-09-07
19550,25606.19,47.84,1 B/R,1-10,1,1,1,1,1,Al Merkadh,2023-08-18
29955,20113.69,45.74,1 B/R,1-10,1,1,1,1,1,Al Merkadh,2025-04-03
199269,19105.97,79.51,1 B/R,Below 1st floor,1,1,1,1,1,Al Merkadh,2023-12-18
229378,22615.07,89.05,2 B/R,41-50,1,1,1,0,1,Al Merkadh,2024-10-17
125956,12719.28,54.58,1 B/R,1-10,1,1,1,1,1,Al Merkadh,2022-08-16
46636,18278.5,30.09,Studio,Below 1st floor,1,1,1,1,1,Al Merkadh,2023-09-20
274803,18298.56,84.95,1 B/R,Below 1st floor,1,1,1,1,1,Al Merkadh,2022-08-03
276971,18729.17,45.53,1 B/R,1-10,1,1,1,1,1,Al Merkadh,2023-05-11
49345,17626.9,27.47,Studio,1-10,1,1,1,1,1,Al Merkadh,2025-01-13
71698,14575.32,70.39,2 B/R,Below 1st floor,1,1,1,1,1,Al Merkadh,2023-10-23
34038,21231.42,32.97,1 B/R,Below 1st floor,1,1,1,1,1,Al Merkadh,2025-07-14
243522,15357.14,28.0,Studio,1-10,1,1,1,1,1,Al Merkadh,2022-12-20
66778,14643.67,30.73,Studio,Below 1st floor,1,1,1,1,1,Al Merkadh,2023-04-17
107595,24409.39,68.04,2 B/R,1-10,1,1,1,1,1,Al Merkadh,2024-09-12
180192,27773.59,54.68,1 B/R,1-10,1,1,1,1,1,Al Merkadh,2025-04-17
291526,19913.18,138.32,2 B/R,31-40,1,1,1,1,1,Al Merkadh,2023-10-30
43752,12121.21,44.55,Studio,1-10,1,1,1,1,1,Al Merkadh,2025-05-26
247969,24572.9,42.73,Studio,1-10,1,1,1,1,1,Al Merkadh,2025-07-03
121125,12677.06,42.64,Studio,1-10,1,1,1,1,1,Al Merkadh,2024-03-25
71658,13051.92,41.22,Studio,1-10,1,1,1,1,1,Al Merkadh,2022-12-26
235945,23051.26,65.94,1 B/R,21-30,1,1,1,1,1,Al Merkadh,2024-04-29
155244,18955.95,76.05,1 B/R,11-20,1,1,1,1,1,Al Merkadh,2025-07-07
126112,28335.94,31.36,Studio,Below 1st floor,1,1,1,1,1,Al Merkadh,2024-08-05
193215,15484.23,37.6,Studio,1-10,1,1,1,1,1,Al Merkadh,2025-02-27
248489,26854.89,54.58,1 B/R,Below 1st floor,1,1,1,1,1,Al Merkadh,2024-08-30
247972,21276.6,77.55,1 B/R,1-10,1,1,1,1,1,Al Merkadh,2025-01-14
228781,16335.66,35.75,Studio,Below 1st floor,1,1,1,1,1,Al Merkadh,2023-09-20
190093,16850.78,53.88,1 B/R,Below 1st floor,1,1,1,1,1,Al Merkadh,2022-08-12
53844,25992.93,48.09,1 B/R,31-40,1,1,1,0,1,Al Merkadh,2025-04-15
172450,12364.17,112.33,2 B/R,Below 1st floor,1,1,1,1,1,Al Merkadh,2022-03-09
72334,21021.85,72.08,1 B/R,31-40,1,1,1,0,1,Al Merkadh,2023-09-20
71291,20629.59,106.78,2 B/R,1-10,1,1,1,1,1,Al Merkadh,2023-08-03
299928,11308.35,45.63,1 B/R,31-40,1,1,1,1,1,Al Merkadh,2023-08-02
33315,17094.02,28.08,Studio,1-10,1,1,1,1,1,Al Merkadh,2025-08-26
125948,13461.57,85.36,2 B/R,Below 1st floor,1,1,1,1,1,Al Merkadh,2023-05-26
16444,19913.16,152.67,3 B/R,Below 1st floor,1,1,1,1,1,Al Merkadh,2022-12-27
53464,23841.9,37.95,Studio,Below 1st floor,1,1,1,1,1,Al Merkadh,2023-08-28
61292,21057.74,76.8,1 B/R,1-10,1,1,1,1,1,Al Merkadh,2023-08-01
116218,19699.0,29.9,Studio,1-10,1,1,1,1,1,Al Merkadh,2024-02-15
235593,14006.73,29.7,Studio,1-10,1,1,1,1,1,Al Merkadh,2025-06-02
301662,14373.58,55.56,1 B/R,1-10,1,1,1,1,1,Al Merkadh,2023-03-24
308821,18850.14,84.88,1 B/R,Below 1st floor,1,1,1,1,1,Al Merkadh,2023-10-09
221339,24875.58,49.43,1 B/R,Below 1st floor,1,1,1,1,1,Al Merkadh,2023-07-12
26987,17220.42,49.36,Studio,1-10,1,0,1,0,1,Al Merkadh,2023-08-15
269378,13778.26,37.16,Studio,1-10,1,1,1,1,1,Al Merkadh,2024-01-29
291940,20350.88,71.25,1 B/R,1-10,0,1,1,1,1,Al Merkadh,2022-04-27
122245,25121.62,33.67,Studio,1-10,1,1,1,1,1,Al Merkadh,2025-04-16
247939,24159.89,45.53,1 B/R,1-10,1,1,1,1,1,Al Merkadh,2024-03-27
68699,25810.19,86.4,1 B/R,Below 1st floor,1,1,1,1,1,Al Merkadh,2023-03-03
257574,16247.78,78.78,1 B/R,1-10,1,1,1,1,1,Al Merkadh,2023-06-19
43640,18138.73,77.22,1 B/R,Below 1st floor,1,1,0,0,1,Al Merkadh,2022-08-22
81654,17612.89,53.37,1 B/R,Below 1st floor,1,1,1,1,1,Al Merkadh,2024-10-15
3773,16711.35,111.9,2 B/R,1-10,1,1,1,1,1,Al Merkadh,2023-08-09
104160,10600.99,54.41,1 B/R,1-10,1,1,1,1,1,Al Merkadh,2024-10-23
313059,12737.38,43.18,Studio,Below 1st floor,1,1,1,1,1,Al Merkadh,2024-01-19
